campaign,campaign_slug,customer,creation_date
The Beatles Symphonic Fantasy,the-beatles-symphonic-fantasy-bogota-2024,Tuboleta,1722636319
WOS,wos-bogota-2024,eticket,1712596441
Disclosure,disclosure-bogota-2024,Tuboleta,1704321118
Entre Nos y Delasierra,entre-nos-y-delasierra-bogota-2024,eticket,1724331124
Paul McCartney,paul-mccartney-bogota-2024,eticket,1720798988
Ana María Simón,ana-maria-simon-medellin-2024,eticket,1718830323
Los Tigres del Norte,los-tigres-del-norte-bogota-2024-3,Tuboleta,1721760618
Afterlife Medellín 2024,afterlife-medellin-2024,eticket,1701894209
Ryan Castro,ryan-castro-bogota-2024,Tuboleta,1715695298
Ca7riel y Paco Amoroso,ca7riel-paco-amoroso-bogota-2024,eticket,1716560888
Lucas Arnau,lucas-arnau-bogota-2024,eticket,1713289114
Aniversario Ochentero Full 80's,aniversario-ochentero-full-80-bogota-2024,Tuboleta,1712591883
"Pilar Sordo, Exponencial Mente Consciente",pilar-sordo-exponencial-mente-consciente-bogota-2024,eticket,1726667145
Myke Towers,myke-towers-bogota-2024,Tuboleta,1716849174
Jonas Brothers,jonas-brothers-bogota-2024,Tuboleta,1710185843
Aventura,aventura-cali-2024,eticket,1729268806
Shakira,shakira-bogota-2025,eticket,1728659057
Black Pumas,black-pumas-bogota-2024,eticket,1706118298
Ritvales,ritvales-medellin-2024,Tuboleta,1715022786
Camilo,camilo-bogota-2024,Tuboleta,1716660697
BDU,bdu-bogota-2024,Tuboleta,1719602247
PIPE BUENO 3ER ROUND,pipe-bueno-bogota-2024,Tuboleta,1729717094
Los Tigres del Norte,los-tigres-del-norte-bogota-2024,Tuboleta,1715696603
Armin Van Buuren,armin-van-buuren-medellin-2024,Tuboleta,1721741154
Pesos Pesados del Vallenato,pesos-pesados-del-vallenato-bogota-2024,Tuboleta,1718313003
Jolie,jolie-bogota-2024,eticket,1717174133
Siddhartha,siddhartha-bogota-2024,eticket,1718647878
Santu,santu-bogota-2024,eticket,1714161685
Blessd,blessd-bogota-2024,Tuboleta,1717776566
The Juanpis Live Show: Los Noto Asustados Temporada 2,juanpis-live-show-los-noto-asustados-2-bogota-2024,eticket,1712252505
Manuel Medrano,manuel-medrano-bogota-2024,Tuboleta,1719237539
Rocka + Ekhymosis,rocka-ekhymosis-bogota-2024,eticket,1726229747
Ana María Simón,ana-maria-simon-bogota-2024,eticket,1718830909
Bring Me The Horizon,bring-me-the-horizon-bogota-2024,Tuboleta,1718917890
Andrés Cepeda,andres-cepeda-cali-2024,eticket,1710355660
Vino al Parque,vino-al-parque-bogota-2024-2,eticket,1726236643
Villa Arruga: Todos los caminos conducen a Suba,villa-arruga-bogota-2024,eticket,1726230665
Oh My Drag! Sasha Colby,oh-my-drag-sasha-colby-bogota-2024,eticket,1719250414
Franco Escamilla Show 1995,franco-escamilla-cali-2024,Tuboleta,1715187876
Galactic Empire,galactic-empire-bogota-2024,eticket,1712072459
Ryan Castro,ryan-castro-bucaramanga-2024,Tuboleta,1718743049
Paul Van Dyk,paul-van-dyk-medellin-2024,Tuboleta,1720129920
