customer,campaign,year_campaign
Tuboleta,PRIMAVERA PASS GENERAL,2023
eticket,ANDRÉS CEPEDA: NUESTRA VIDA EN CANCIONES  MANIZALES,2024
Tuboleta,MANUEL MEDRANO EN CONCIERTO,2024
Tuboleta,JULIANA,2025
eticket,ANDRÉS CEPEDA: NUESTRA VIDA EN CANCIONES  MEDELLÍN,2024
Tuboleta,ANDRÉ RIEU,2024
Tuboleta,TOTO | DOGZ OF OZ TOUR 2024,2024
eticket,I LOVE 90'S BOGOTA,2024
Tuboleta,ANIME,2025
Tuboleta,JOAQUIN SABINA | HOLA Y ADIOS,2025
eticket,DOMINGO 24 DE MARZO 2024  FESTIVAL ESTÉREO PICNIC,2024
eticket,BAILE FUNK EXPERIENCE,2024
eticket,ISMAEL SERRANO EN BOGOTÁ,2025
Tuboleta,14 CAÑONAZOS FEST,2024
eticket,COMBO 3 DÍAS  FESTIVAL ESTÉREO PICNIC 2024,2024
eticket,INTERPOL CELEBRANDO LOS DISCOS: TURN ON THE BRIGHT LIGHTS Y ANTICS,2024
Tuboleta,RUGE 2024  MEDELLÍN,2024
Tuboleta,BLESSD BOGOTÁ 2024  SEGUNDA FECHA,2024
eticket,ANDRÉS CEPEDA: PAQUETES FANS  MANIZALES,2024
eticket,EXHALE MEDELLIN,2024
eticket,ANDRÉS CEPEDA: NUESTRA VIDA EN CANCIONES  BUCARAMANGA,2024
Tuboleta,RYAN CASTRO  EL CANTANTE DEL GHETTO TOUR  MANIZALES,2024
eticket,LIKA NOVA PRESENTA: REPETIRÍA TODO,2024
eticket,MAJESTUOSOS 2023 28 DE DICIEMBRE,2023
eticket,BLUE MAN GROUP,2024
eticket,VINO AL PARQUE  VIERNES 21 JUNIO,2024
eticket,DAMIANO DAVID,2025
Tuboleta,ANDRÉ RIEU 3RA FECHA,2024
Tuboleta,MYKE TOWERS  VIVE LA TUYA NO LA MIA TOUR,2024
eticket,THE JUANPIS LIVE SHOW: MAKE COLOMBIA GREAT AGAIN TEMPORADA 2,2024
Tuboleta,JOSÉ MADERO,2025
Tuboleta,Los Aguilar,2024
eticket,FESTIVAL ESTÉREO PICNIC JUEVES,2025
Tuboleta,TOMORROWLAND PRESENTS CORE  2025  SINGLE,2025
Tuboleta,PRIMAVERA SOUND BOGOTÁ 2023  DOMINGO 10,2023
Tuboleta,CYPRESS HILL  ALCOLIRYKOZ,2025
eticket,PICNIC PASEO DE OLLA,2024
eticket,AFTERLIFE 2 DE FEBRERO,2024
Tuboleta,RELS B,2025
eticket,BAUM FESTIVAL 2025 COMBO 2 DÍAS,2025
Tuboleta,MARCO ANTONIO SOLIS,2023
eticket,ANDRÉS CALAMARO: AGENDA 1999 TOUR,2025
Tuboleta,CULTURA PROFÉTICA Y VICENTE GARCÍA,2024
eticket,ANDRÉS CARNE DE RES PRESENTA: NOCHE VIEJA,2024
Tuboleta,CÚCUTA SUENA,2024
Tuboleta,PRIMAVERA SOUND BOGOTÁ 2023 DOMINGO 10,2023
eticket,MONSIEUR PERINÉ,2024
eticket,BRUTALISMUS 3000 MEDELLÍN PROMOTORES,2024
Tuboleta,SUENA VOL 2,2024
Tuboleta,Blessd Bogotá,2024
eticket,ANDRÉS CEPEDA: PAQUETES FANS  IBAGUE,2024
Tuboleta,SAYONARA  ÁLVARO DÍAZ,2025
eticket,VINO AL PARQUE  SÁBADO 22 JUNIO,2024
Tuboleta,SLIPKNOT 25TH ANNIVERSARY  2DA FECHA,2024
Tuboleta,1995 FRANCO ESCAMILLA  CALI,2024
eticket,MAYRA SÁNCHEZ,2024
eticket,OLAS SONORAS 2024,2024
eticket,FESTIVAL ESTÉREO PICNIC 2024 COMBO 4 DÍAS,2024
eticket,EXPONENCIAL MENTE CONCIENTE,2024
eticket,MIEL,2024
eticket,BAUM FESTIVAL 2024  25 DE MAYO  SÁBADO INDIVIDUAL,2024
eticket,FESTIVAL CORDILLERA 2024  DOMINGO,2024
eticket,FESTIVAL GABO 2024  ABONO 3 DÍAS,2024
eticket,JUANES PEREIRA,2024
eticket,UNA IDEA GENIAL DE SÉBASTIEN CASTRO DIRIGIDA POR JOHAN VELANDIA,2024
eticket,SVEN VÄTH E INVITADOS: COCOON 25Y,2024
Tuboleta,"Julieta Venegas, Elsa y Elmar y Ximena Sariñana",2024
eticket,MILO J,2025
eticket,AFTERLIFE,2024
Tuboleta,DRACO ROSA,2025
Tuboleta,KANY GARCÍA,2024
Tuboleta,WEEEKLY,2024
Tuboleta,ANIVERSARIO OCHENTERO,2024
eticket,RAWAYANA,2024
eticket,FESTIVAL CORDILLERA 2024  COMBO 2 DIAS  DTO,2024
Tuboleta,RESIDENTE,2024
Tuboleta,ARMIN VAN BUUREN,2024
Tuboleta,ANIME 2DA FECHA,2024
eticket,THE JUANPIS LIVE SHOW: LOS NOTO ASUSTADOS TEMPORADA 2,2024
eticket,PIERCE THE VEIL:I CAN'T HEAR YOU TOUR,2025
eticket,ASHNIKKO,2024
eticket,MAJESTUOSOS 2023 13 DE DICIEMBRE,2023
eticket,DUPLAT PRESENTA AUTOGOL EN PASTO,2024
Tuboleta,LOS PESOS PESADOS DEL VALLENATO,2024
eticket,AVENTURACERRANDO CICLOS CALI,2024
eticket,FESTIVAL CORDILLERA 2024  SABADO  DTO,2024
eticket,FRANZ FERDINAND  FAN DAYS,2024
eticket,BOXXERA,2024
eticket,COMBO 4 DÍAS DTO  FESTIVAL ESTÉREO PICNIC 2024,2024
eticket,SOLOMUN,2024
Tuboleta,PRIMAVERA PASS VIP,2023
eticket,BAUM FESTIVAL 2024  25 DE MAYO SÁBADO INDIVIDUAL PROMOTORES,2024
Tuboleta,1995 FRANCO ESCAMILLA  MEDELLÍN,2024
eticket,NASA HISTOIRES EN BOGOTA  FLOR MORADA TOUR,2024
eticket,CA7RIEL & PACO AMOROSO: BANO MARIA,2024
Tuboleta,BACILOS,2025
Tuboleta,ROAD TO PRIMAVERA   PET SHOP BOYS,2023
eticket,ZAMNA FESTIVAL CARTAGENA  DÍA 2,2023
Tuboleta,GLORIA TREVI,2025
Tuboleta,ROAD TO PRIMAVERA  THE CURE,2023
eticket,DRUNK COMEDY,2024
eticket,MACA & GERO,2025
eticket,ELSA Y ELMAR,2023
eticket,MAREH,2024
Tuboleta,RITVALES 2024  COMBO NOV 02 & 03,2024
eticket,ANDREA BOCELLI,2025
eticket,COMBO 3 DIAS  FESTIVAL ESTÉREO PICNIC 2025,2025
Tuboleta,CAMILO NUESTRO LUGAR FELIZ TOUR,2024
eticket,OH MY DRAG! SASHA COLBY DESCUENTOS,2024
eticket,LEO RIZZI,2024
eticket,MESSI10 BY CIRQUE DU SOLEIL,2024
Tuboleta,CAIFANES,2024
eticket,BRUTALISMUS 3000 MEDELLÍN,2024
eticket,"FESTIVAL ESTÉREO PICNIC 2024 22,23,Y 24 DE MARZO 2024",2024
Tuboleta,VIVE LA SALSA  MEDELLÍN,2024
Tuboleta,KANY GARCÍA  BARRANQUILLA,2024
eticket,DOMINGO 24 DE MARZO 2024 DTO  FESTIVAL ESTÉREO PICNIC,2024
eticket,OH MY DRAG! SASHA COLBY,2024
Tuboleta,BOOGIE NIGHTS,2024
eticket,PAUL MCCARTNEY  GOT BACK,2024
Tuboleta,MATTEO BOCELLI,2024
Tuboleta,TOMORROWLAND PRESENTS CORE 2025  COMBO,2025
eticket,FONSECA: TROPICALIA TOUR,2025
eticket,THE MILLS EN SÁNCHEZ,2024
eticket,ANDRÉS CEPEDA: PAQUETES FANS  CALI,2024
eticket,AEROPHON EN CONCIERTO,2023
eticket,VILLA ARRUGA: ANTES MUERTAS QUE SENCILLAS,2025
eticket,KNTXT CHARLOTTE DE EITTEpromotores,2024
eticket,HA*ASH,2025
Tuboleta,BDU,2024
eticket,I LOVE 90S  MEDELLÍN,2024
Tuboleta,RYAN CASTRO  EL CANTANTE DEL GHETTO TOUR,2024
Tuboleta,MOR PRIDE FEST,2024
Tuboleta,DANNA PAOLA,2024
eticket,BLACK PUMAS,2024
Tuboleta,ANDRÉ RIEU 4TA FECHA,2024
eticket,FESTIVAL ESTÉREO PICNIC SÁBADO,2025
eticket,APOLO 7 & FRIENDS,2024
eticket,BAUM FESTIVAL 2024  PROMOTORES,2024
eticket,CONQUISTAR EL PLANETA TOUR  MEET & GREET,2024
eticket,MOTHER MOTHER + FAN DAYS,2024
eticket,BRUTALISMUS 3000  BOGOTÁ PROMOTORES,2024
eticket,VIERNES 22 DE MARZO DTO 2024  FESTIVAL ESTÉREO PICNIC,2024
eticket,VILLA ARRUGA: TODOS LOS CAMINOS CONDUCEN A SUBA,2024
Tuboleta,RYAN CASTRO  EL CANTANTE DEL GHETTO TOUR  BOGOTÁ,2024
Tuboleta,EVENTO PRUEBA TUBOLETA PASS 2023PUB,2023
eticket,THE JUANPIS LIVE SHOW: LOS NOTO ASUSTADOS TEMPORADA 3,2024
eticket,SHOW LYNIEL,2024
eticket,FESTIVAL ESTÉREO PICNIC 2024 COMBO 3 DÍAS,2024
Tuboleta,MAS CERCA DE TI TOUR  2DA FECHA,2025
eticket,JUEVES 21 DE MARZO  FESTIVAL ESTÉREO PICNIC,2024
eticket,BAUM FESTIVAL 2024,2024
eticket,KNTXT CHARLOTTE DE WITTE,2024
eticket,ANDRÉS CEPEDA: PAQUETES FANS  MEDELLÍN,2024
Tuboleta,ANDRÉS CALAMARO,2025
Tuboleta,Rewind Us Tour  A.C.E,2024
Tuboleta,LOS TIGRES DEL NORTE,2024
Tuboleta,FESTIVAL DE LA NUEVA ERA EN BOGOTÁ,2024
eticket,FESTIVAL ESTÉREO PICNIC DOMINGO,2025
Tuboleta,JHONNY RIVERA  20 AÑOS,2025
Tuboleta,ANDRÉ RIEU  19 SEPTIEMBRE,2024
eticket,FESTIVAL DEL TERROR 9  LA RUTA MACABRA,2024
eticket,LAGOON FEST 2024,2024
eticket,VALE GARZON,2024
eticket,JOAQUINA,2025
eticket,"THE JUANPIS LIVE SHOW: ""DE PERIODISTA A PRESIDENTE (AGAIN)""",2025
eticket,COMBO 3 DIAS  FESTIVAL ESTÉREO PICNIC 2025  DTO,2025
Tuboleta,DREAD MAR I,2024
eticket,MAJESTUOSOS 2023 23 DE DICIEMBRE,2023
Tuboleta,RAPHAEL  VICTORIA 2024,2024
eticket,I LOVE 90S  BOGOTÁ,2024
eticket,ANDRÉS CEPEDA: NUESTRA VIDA EN CANCIONES  BOGOTÁ,2024
eticket,SLASH FT. MYLES KENNEDY AND THE CONSPIRATORS: THE RIVER IS RISING  REST OF THE WORLD TOUR '24,2024
Tuboleta,MYKE TOWERS  VIVA LA TUYA NO LA MIA TOUR,2024
Tuboleta,CUARTETO DE NOS EN CONCIERTO,2024
eticket,MOTHER MOTHER,2024
